baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Name
321.3504675,-0.068717024,0.058520887,-1.174230739,0.240302617,0.999729606,ACOT8
706.5168601,-0.090761889,0.055341258,-1.640040232,0.100996802,0.999729606,ACOT9
2669.973002,-0.119621236,0.070395021,-1.699285458,0.089265411,0.999729606,ACOX1
3.764866425,-0.308686156,0.189852015,-1.62593037,0.103964469,0.999729606,ACOX2
175.3195687,-0.00614789,0.057019252,-0.107821296,0.91413745,0.999729606,ACOX3
5.951305241,-0.090764891,0.176746386,-0.513531809,0.607579366,0.999729606,ACOXL
684.5173399,-0.036435657,0.048374454,-0.753200367,0.451329519,0.999729606,ACP1
355.8627265,-0.033761665,0.046207928,-0.730646604,0.464995038,0.999729606,ACP2
553.295783,-0.044848783,0.067309148,-0.666310373,0.505212737,0.999729606,ACP5
101.7041619,0.029658453,0.050146722,0.591433533,0.554229978,0.999729606,ACP6
209.5350926,0.069499077,0.065872945,1.055047376,0.291403658,0.999729606,ACPL2
349.0655332,-0.030015849,0.077066449,-0.389480104,0.696921026,0.999729606,ACPP
1.012432631,0.232058961,0.269767252,0.860219167,0.389668241,0.999729606,ACPT
0.187675561,-0.588194966,0.877507988,-0.670301552,0.502665578,0.999729606,ACR
221.3296161,-0.196689054,0.062930505,-3.125496195,0.001775054,0.708916242,ACRBP
89.81643067,0.130643784,0.054714328,2.387743562,0.016952166,0.999729606,ACRC
0.380138495,-0.145618601,0.635949726,-0.228978165,0.818885887,0.999729606,ACRV1
11.22349648,-0.108043821,0.138598444,-0.779545698,0.435658329,0.999729606,ACSBG1
3.284421302,-0.250546964,0.197292699,-1.269925171,0.204111286,0.999729606,ACSBG2
226.9004162,-0.005699538,0.055380015,-0.102916867,0.918028951,0.999729606,ACSF2
550.3292493,0.037152414,0.047087586,0.789006552,0.430108177,0.999729606,ACSF3
14571.49022,-0.015019255,0.12620419,-0.11900758,0.905269351,0.999729606,ACSL1
458.9002493,-0.063413358,0.058779413,-1.078836202,0.280660753,0.999729606,ACSL3
1686.882624,-0.114661944,0.113671006,-1.008717597,0.31311009,0.999729606,ACSL4
1073.845852,-0.006207736,0.041833029,-0.148393183,0.882032479,0.999729606,ACSL5
309.7783318,0.078432396,0.05540878,1.415522877,0.156915246,0.999729606,ACSL6
8.853799578,0.101932895,0.129774127,0.785463927,0.432181612,0.999729606,ACSM1
0.048633858,-0.004157942,2.493984518,-0.001667188,0.998669777,0.999729606,ACSM2A
0.052062994,0.064534681,2.777906482,0.023231409,0.981465685,0.999729606,ACSM2B
37.08036097,0.05173627,0.087409795,0.591881838,0.553929716,0.999729606,ACSM3
0.1485539,-0.32423804,1.058802694,-0.306230841,0.759428892,0.999729606,ACSM4
0.632425195,0.737696781,0.431176025,1.71089471,0.087100551,0.999729606,ACSM5
1498.550568,0.021834617,0.044179918,0.494220409,0.621150528,0.999729606,ACSS1
661.4360752,-0.05643971,0.053451109,-1.055912805,0.291008054,0.999729606,ACSS2
2.200779607,-0.044682453,0.232094245,-0.192518574,0.84733602,0.999729606,ACSS3
6.220294815,-0.809672082,0.299482647,-2.703569272,0.006859915,0.936798812,ACTA1
117.2453623,-0.115895676,0.102789016,-1.127510313,0.259526783,0.999729606,ACTA2
107981.996,-0.070696537,0.08134713,-0.869072294,0.38480759,0.999729606,ACTB
0.125877591,0.060912171,2.041631371,0.029835048,0.976198607,0.999729606,ACTBL2
0.15804337,0.402182979,1.235793739,0.325445069,0.74484425,0.999729606,ACTC1
28565.39103,-0.038954574,0.044821001,-0.869114322,0.384784604,0.999729606,ACTG1
0.939257171,-0.543692504,0.308388574,-1.763011181,0.077898604,0.999729606,ACTG2
460.3431403,0.05413406,0.03052878,1.773213995,0.076193254,0.999729606,ACTL6A
0.185615563,-0.109319202,0.677206333,-0.161426728,0.871757317,0.999729606,ACTL6B
0.419548291,0.088594744,0.513563242,0.172509902,0.863036678,0.999729606,ACTL7A
0.220151411,0.121732076,0.707514519,0.17205594,0.863393551,0.999729606,ACTL7B
0.083641855,-0.491090293,2.321635976,-0.211527689,0.832475528,0.999729606,ACTL8
2.00578835,-0.069942474,0.278594215,-0.251055013,0.801771577,0.999729606,ACTL9
6456.804977,-0.064558714,0.092112794,-0.700865876,0.483386722,0.999729606,ACTN1
0.821541733,-0.300212848,0.472873758,-0.634868912,0.525513914,0.999729606,ACTN2
3.814868102,0.003291599,0.231187948,0.014237762,0.988640293,0.999729606,ACTN3
4195.451199,-0.053107314,0.100168389,-0.53018037,0.59598688,0.999729606,ACTN4
592.9235577,-0.026367157,0.041980834,-0.628076061,0.529954114,0.999729606,ACTR10
2130.781329,-0.049567472,0.03925232,-1.262790865,0.206664348,0.999729606,ACTR1A
1260.886745,0.037219887,0.040247854,0.924767009,0.355087115,0.999729606,ACTR1B
9788.69602,-0.054482949,0.057709951,-0.944082393,0.345127546,0.999729606,ACTR2
6481.402972,-0.028768006,0.046355493,-0.620595397,0.534865869,0.999729606,ACTR3
84.66629677,-0.086638013,0.043095869,-2.010355394,0.044393588,0.999729606,ACTR3B
0.122004248,-0.039342522,1.691030853,-0.023265408,0.981438565,0.999729606,ACTR3BP2
0.160468199,-0.738962248,1.397570995,-0.528747556,0.596980583,0.999729606,ACTR3BP5
10.65688015,-0.086993436,0.112889516,-0.770606867,0.440939989,0.999729606,ACTR3C
263.9227252,0.052258805,0.043932694,1.189519682,0.234235231,0.999729606,ACTR5
202.6209361,-0.039608049,0.1832722,-0.21611597,0.828897351,0.999729606,ACTR6
303.9816151,0.022244983,0.040183344,0.553587162,0.579861414,0.999729606,ACTR8
